state_abr,state_fips,state,district,candidate_name_first,candidate_name_last,candidate,party,general_votes,general_perc,runoff_votes_LA_only,runoff_perc_LA_only,combined_general_votes_CT_NY_SC_only,combined_general_perc_CT_NY_SC_only,winner
CA,06,California,14,Angel,Cardenas,Angel Cardenas,W(R)/R,"54,817",0.191368735,,,,,
CA,06,California,14,,,Total Votes,,"286,447",,,,,,
CA,06,California,15,Eric,Swalwell,Eric Swalwell,D,"198,578",0.737667953,,,,,W
CA,06,California,15,Danny R.,Turner,Danny R. Turner,R,"70,619",0.262332047,,,,,
CA,06,California,15,,,Total Votes,,"269,197",,,,,,
CA,06,California,16,Jim,Costa,Jim Costa,D,"97,473",0.580348425,,,,,W
CA,06,California,16,Johnny M.,Tacherra,Johnny M. Tacherra,R,"70,483",0.419651575,,,,,
CA,06,California,16,,,Total Votes,,"167,956",,,,,,
CA,06,California,17,Ro,Khanna,Ro Khanna,D,"142,268",0.61008954,,,,,W
CA,06,California,17,Mike ,Honda,Mike  Honda,D,"90,924",0.38991046,,,,,
CA,06,California,17,,,Total Votes,,"233,192",,,,,,
CA,06,California,18,Anna G.,Eshoo,Anna G. Eshoo,D,"230,460",0.711450005,,,,,W
CA,06,California,18,Richard B.,Fox,Richard B. Fox,R,"93,470",0.288549995,,,,,
CA,06,California,18,,,Total Votes,,"323,930",,,,,,
CA,06,California,19,Zoe,Lofgren,Zoe Lofgren,D,"181,802",0.739444325,,,,,W
CA,06,California,19,G. Burt,Lancaster,G. Burt Lancaster,R,"64,061",0.260555675,,,,,
CA,06,California,19,,,Total Votes,,"245,863",,,,,,
CA,06,California,20,Jimmy ,Panetta,Jimmy  Panetta,D,"180,980",0.707530758,,,,,W
CA,06,California,20,Casey ,Lucius,Casey  Lucius,R,"74,811",0.292469242,,,,,
CA,06,California,20,,,Total Votes,,"255,791",,,,,,
CA,06,California,21,David,Valadao,David Valadao,R,"75,126",0.567382635,,,,,W
CA,06,California,21,Emilio Jesus,Huerta,Emilio Jesus Huerta,D,"57,282",0.432617365,,,,,
CA,06,California,21,,,Total Votes,,"132,408",,,,,,
CA,06,California,22,Devin G.,Nunes,Devin G. Nunes,R,"158,755",0.675650945,,,,,W
CA,06,California,22,Louie J.,Campos,Louie J. Campos,D,"76,211",0.324349055,,,,,
CA,06,California,22,,,Total Votes,,"234,966",,,,,,
CA,06,California,23,Kevin,McCarthy,Kevin McCarthy,R,"167,116",0.691751109,,,,,W
CA,06,California,23,Wendy ,Reed,Wendy  Reed,D,"74,468",0.308248891,,,,,
CA,06,California,23,,,Total Votes,,"241,584",,,,,,
CA,06,California,24,Salud,Carbajal,Salud Carbajal,D,"166,034",0.534190867,,,,,W
CA,06,California,24,Justin Donald ,Fareed,Justin Donald  Fareed,R,"144,780",0.465809133,,,,,
CA,06,California,24,,,Total Votes,,"310,814",,,,,,
CA,06,California,25,Steve,Knight,Steve Knight,R,"138,755",0.531300615,,,,,W
CA,06,California,25,Bryan,Caforio,Bryan Caforio,D,"122,406",0.468699385,,,,,
CA,06,California,25,,,Total Votes,,"261,161",,,,,,
CA,06,California,26,Julia,Brownley,Julia Brownley,D,"169,248",0.603795125,,,,,W
CA,06,California,26,Rafael A.,Dagnesses,Rafael A. Dagnesses,R,"111,059",0.396204875,,,,,
CA,06,California,26,,,Total Votes,,"280,307",,,,,,
CA,06,California,27,Judy ,Chu,Judy  Chu,D,"168,977",0.674203613,,,,,W
CA,06,California,27,Jack,Orswell,Jack Orswell,R,"81,655",0.325796387,,,,,
CA,06,California,27,,,Total Votes,,"250,632",,,,,,
CA,06,California,28,Adam B.,Schiff,Adam B. Schiff,D,"210,883",0.779866794,,,,,W
CA,06,California,28,Lenore,Solis,Lenore Solis,R,"59,526",0.220133206,,,,,
CA,06,California,28,,,Total Votes,,"270,409",,,,,,
CA,06,California,29,Tony,Cardenas,Tony Cardenas,D,"128,407",0.747317022,,,,,W
CA,06,California,29,Richard,Alarcon,Richard Alarcon,D,"43,417",0.252682978,,,,,
CA,06,California,29,,,Total Votes,,"171,824",,,,,,
CA,06,California,30,Brad,Sherman,Brad Sherman,D,"205,279",0.726383915,,,,,W
CA,06,California,30,Mark,Reed,Mark Reed,R,"77,325",0.273616085,,,,,
CA,06,California,30,,,Total Votes,,"282,604",,,,,,
CA,06,California,31,Pete,Aguilar,Pete Aguilar,D,"121,070",0.560675385,,,,,W
CA,06,California,31,Paul ,Chabot,Paul  Chabot,R,"94,866",0.439324615,,,,,
CA,06,California,31,,,Total Votes,,"215,936",,,,,,
CA,06,California,32,Grace F. ,Napolitano,Grace F.  Napolitano,D,"114,926",0.615743172,,,,,W
CA,06,California,32,Roger,Hernández,Roger Hernández,D,"71,720",0.384256828,,,,,
CA,06,California,32,,,Total Votes,,"186,646",,,,,,
CA,06,California,33,Ted W.,Lieu,Ted W. Lieu,D,"219,397",0.664398475,,,,,W
CA,06,California,33,Kenneth W.,Wright,Kenneth W. Wright,R,"110,822",0.335601525,,,,,
CA,06,California,33,,,Total Votes,,"330,219",,,,,,
CA,06,California,34,Xavier,Becerra,Xavier Becerra,D,"122,842",0.771833924,,,,,W
CA,06,California,34,Adrienne Nicole,Edwards,Adrienne Nicole Edwards,D,"36,314",0.228166076,,,,,
CA,06,California,34,,,Total Votes,,"159,156",,,,,,
CA,06,California,35,Norma J.,Torres,Norma J. Torres,D,"124,044",0.723909123,,,,,W
CA,06,California,35,Tyler,Fischella,Tyler Fischella,R,"47,309",0.276090877,,,,,
CA,06,California,35,,,Total Votes,,"171,353",,,,,,
CA,06,California,36,Raul,Ruiz,Raul Ruiz,D,"144,348",0.620539341,,,,,W
CA,06,California,36,Jeff,Stone,Jeff Stone,R,"88,269",0.379460659,,,,,
CA,06,California,36,,,Total Votes,,"232,617",,,,,,
CA,06,California,37,Karen,Bass,Karen Bass,D,"192,490",0.811263023,,,,,W
CA,06,California,37,Chris Blake,Wiggins,Chris Blake Wiggins,D,"44,782",0.188736977,,,,,
CA,06,California,37,,,Total Votes,,"237,272",,,,,,
CA,06,California,38,Linda T.,Sánchez,Linda T. Sánchez,D,"163,590",0.704782995,,,,,W
CA,06,California,38,Ryan ,Downing,Ryan  Downing,R,"68,524",0.295217005,,,,,
CA,06,California,38,,,Total Votes,,"232,114",,,,,,
CA,06,California,39,Ed,Royce,Ed Royce,R,"150,777",0.572304294,,,,,W
CA,06,California,39,Brett ,Murdock,Brett  Murdock,D,"112,679",0.427695706,,,,,
CA,06,California,39,,,Total Votes,,"263,456",,,,,,
CA,06,California,40,Lucille,Roybal-Allard,Lucille Roybal-Allard,D,"106,554",0.713704897,,,,,W
CA,06,California,40,Roman Gabriel ,Gonzalez,Roman Gabriel  Gonzalez,NOP,"42,743",0.286295103,,,,,
CA,06,California,40,,,Total Votes,,"149,297",,,,,,
CA,06,California,41,Mark,Takano,Mark Takano,D,"128,164",0.649513741,,,,,W
CA,06,California,41,Doug,Shepherd,Doug Shepherd,R,"69,159",0.350486259,,,,,
CA,06,California,41,,,Total Votes,,"197,323",,,,,,
CA,06,California,42,Ken,Calvert,Ken Calvert,R,"149,547",0.58822118,,,,,W
CA,06,California,42,Tim,Sheridan,Tim Sheridan,D,"104,689",0.41177882,,,,,
CA,06,California,42,,,Total Votes,,"254,236",,,,,,
